年度,年末总人口(万人),男性人口(万人),女性人口(万人),城镇人口(万人),乡村人口(万人)
2004年,129988,66976,63012,54283,75705
2005年,130756,67375,63381,56212,74544
2006年,131448,67728,63720,58288,73160
2007年,132129,68048,64081,60633,71496
2008年,132802,68357,64445,62403,70399
2009年,133450,68647,64803,64512,68938
2010年,134091,68748,65343,66978,67113
2011年,134916,69161,65755,69927,64989
2012年,135922,69660,66262,72175,63747
2013年,136726,70063,66663,74502,62224
2014年,137646,70522,67124,76738,60908
2015年,138326,70857,67469,79302,59024
2016年,139232,71307,67925,81924,57308
2017年,140011,71650,68361,84343,55668
2018年,140541,71864,68677,86433,54108
2019年,141008,72039,68969,88426,52582
2020年,141212,72357,68855,90220,50992
2021年,141260,72311,68949,91425,49835
2022年,141175,72206,68969,92071,49104
2023年,140967,72032,68935,93267,47700
